model,type,row_label,col_label,value
LinearSVC_C1.0,metric,accuracy,,0.9814852082914067
LinearSVC_C1.0,metric,balanced_accuracy,,0.9812607992296716
LinearSVC_C1.0,metric,precision_macro,,0.9813314958353749
LinearSVC_C1.0,metric,recall_macro,,0.9812607992296716
LinearSVC_C1.0,metric,f1_macro,,0.9812663131866107
LinearSVC_C1.0,metric,precision_weighted,,0.9815490443164224
LinearSVC_C1.0,metric,recall_weighted,,0.9814852082914067
LinearSVC_C1.0,metric,f1_weighted,,0.9814875614803521
LinearSVC_C1.0,cm,true_financial_reports,pred_financial_reports,1713.0
LinearSVC_C1.0,cm_norm,true_financial_reports,pred_financial_reports,0.9850488786659
LinearSVC_C1.0,cm,true_financial_reports,pred_government_tenders,1.0
LinearSVC_C1.0,cm_norm,true_financial_reports,pred_government_tenders,0.0005750431282346176
LinearSVC_C1.0,cm,true_financial_reports,pred_laws_and_regulations,6.0
LinearSVC_C1.0,cm_norm,true_financial_reports,pred_laws_and_regulations,0.0034502587694077054
LinearSVC_C1.0,cm,true_financial_reports,pred_manuals,9.0
LinearSVC_C1.0,cm_norm,true_financial_reports,pred_manuals,0.005175388154111558
LinearSVC_C1.0,cm,true_financial_reports,pred_patents,2.0
LinearSVC_C1.0,cm_norm,true_financial_reports,pred_patents,0.0011500862564692352
LinearSVC_C1.0,cm,true_financial_reports,pred_scientific_articles,8.0
LinearSVC_C1.0,cm_norm,true_financial_reports,pred_scientific_articles,0.004600345025876941
LinearSVC_C1.0,cm,true_government_tenders,pred_financial_reports,1.0
LinearSVC_C1.0,cm_norm,true_government_tenders,pred_financial_reports,0.003663003663003663
LinearSVC_C1.0,cm,true_government_tenders,pred_government_tenders,269.0
LinearSVC_C1.0,cm_norm,true_government_tenders,pred_government_tenders,0.9853479853479854
LinearSVC_C1.0,cm,true_government_tenders,pred_laws_and_regulations,2.0
LinearSVC_C1.0,cm_norm,true_government_tenders,pred_laws_and_regulations,0.007326007326007326
LinearSVC_C1.0,cm,true_government_tenders,pred_manuals,0.0
LinearSVC_C1.0,cm_norm,true_government_tenders,pred_manuals,0.0
LinearSVC_C1.0,cm,true_government_tenders,pred_patents,1.0
LinearSVC_C1.0,cm_norm,true_government_tenders,pred_patents,0.003663003663003663
LinearSVC_C1.0,cm,true_government_tenders,pred_scientific_articles,0.0
LinearSVC_C1.0,cm_norm,true_government_tenders,pred_scientific_articles,0.0
LinearSVC_C1.0,cm,true_laws_and_regulations,pred_financial_reports,8.0
LinearSVC_C1.0,cm_norm,true_laws_and_regulations,pred_financial_reports,0.0103359173126615
LinearSVC_C1.0,cm,true_laws_and_regulations,pred_government_tenders,0.0
LinearSVC_C1.0,cm_norm,true_laws_and_regulations,pred_government_tenders,0.0
LinearSVC_C1.0,cm,true_laws_and_regulations,pred_laws_and_regulations,756.0
LinearSVC_C1.0,cm_norm,true_laws_and_regulations,pred_laws_and_regulations,0.9767441860465116
LinearSVC_C1.0,cm,true_laws_and_regulations,pred_manuals,6.0
LinearSVC_C1.0,cm_norm,true_laws_and_regulations,pred_manuals,0.007751937984496124
LinearSVC_C1.0,cm,true_laws_and_regulations,pred_patents,2.0
LinearSVC_C1.0,cm_norm,true_laws_and_regulations,pred_patents,0.002583979328165375
LinearSVC_C1.0,cm,true_laws_and_regulations,pred_scientific_articles,2.0
LinearSVC_C1.0,cm_norm,true_laws_and_regulations,pred_scientific_articles,0.002583979328165375
LinearSVC_C1.0,cm,true_manuals,pred_financial_reports,6.0
LinearSVC_C1.0,cm_norm,true_manuals,pred_financial_reports,0.0075
LinearSVC_C1.0,cm,true_manuals,pred_government_tenders,2.0
LinearSVC_C1.0,cm_norm,true_manuals,pred_government_tenders,0.0025
LinearSVC_C1.0,cm,true_manuals,pred_laws_and_regulations,19.0
LinearSVC_C1.0,cm_norm,true_manuals,pred_laws_and_regulations,0.02375
LinearSVC_C1.0,cm,true_manuals,pred_manuals,770.0
LinearSVC_C1.0,cm_norm,true_manuals,pred_manuals,0.9625
LinearSVC_C1.0,cm,true_manuals,pred_patents,0.0
LinearSVC_C1.0,cm_norm,true_manuals,pred_patents,0.0
LinearSVC_C1.0,cm,true_manuals,pred_scientific_articles,3.0
